Designator,Mid X,Mid Y,Rotation,Layer
C1,31.52,27.55,270.0,top
C2,28.51,27.55,270.0,top
C3,25.5,27.55,270.0,top
C4,34.0,27.5,270.0,top
C5,36.5,27.55,270.0,top
C6,39.0,27.525,270.0,top
C7,3.05,11.99,180.0,top
C8,3.05,15.0,180.0,top
D1,41.5,27.475,270.0,top
J1,45.9,35.5,0.0,top
J2,31.0,45.9,90.0,top
J3,4.1,24.0,180.0,top
J4,16.0,46.0,90.0,top
J5,4.1,36.0,180.0,top
J6,38.875,17.85,180.0,top
J7,12.5,5.0,180.0,top
R1,44.0,27.475,270.0,top
U1,19.3375,36.2,180.0,top
U2,23.275,12.425,270.0,top
U4,11.0,12.5,270.0,top
